expressionKey,spellKey,spellLabel,expressionKind,diceExpression,staticAmount,damageTypeKeys,healingKind,context,sourceSection
flame-strike-damage-3,flame-strike,Flame Strike,damage,1d6,,fire;radiant,,as much damage on a successful one. Using a Higher-Level Spell Slot. The Fire damage and the Radiant damage increase by 1d6 for each spell slot level above 5.,Spell Descriptions: Flame Strike
flaming-sphere-damage-1,flaming-sphere,Flaming Sphere,damage,2d6,,fire,,"ts for the duration. Any creature that ends its turn within 5 feet of the sphere makes a Dexterity saving throw, taking 2d6 Fire damage on a failed save or half as much damage on a successful one. As a Bonus Action, you can move the sphere up to 30 feet, rolling it along the ground.",Spell Descriptions: Flaming Sphere
flaming-sphere-damage-2,flaming-sphere,Flaming Sphere,damage,1d6,,,,t in a 20-foot radius and Dim Light for an additional 20 feet. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.,Spell Descriptions: Flaming Sphere
forbiddance-damage-1,forbiddance,Forbiddance,damage,5d10,,necrotic;radiant,,"eature of a chosen type enters the spell's area for the first time on a turn or ends its turn there, the creature takes 5d10 Radiant or Necrotic damage (your choice when you cast this spell). You can designate a password when you cast the spell. A creature that speaks the password as",Spell Descriptions: Forbiddance
freezing-sphere-damage-1,freezing-sphere,Freezing Sphere,damage,10d6,,cold,,"nge, where it explodes in a 60-foot-radius Sphere. Each creature in that area makes a Constitution saving throw, taking 10d6 Cold damage on failed save or half as much damage on a successful one. If the globe strikes a body of water, it freezes the water to a depth of 6 inches over a",Spell Descriptions: Freezing Sphere
freezing-sphere-damage-2,freezing-sphere,Freezing Sphere,damage,1d6,,,,"1 minute, if the globe hasn't already shattered, it explodes. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 6.",Spell Descriptions: Freezing Sphere
geas-damage-1,geas,Geas,damage,5d10,,psychic,,"the duration. The target automatically succeeds if it can't understand your command. While Charmed, the creature takes 5d10 Psychic damage if it acts in a manner directly counter to your command. It takes this damage no more than once each day. You can issue any command you choose,",Spell Descriptions: Geas
glyph-of-warding-damage-1,glyph-of-warding,Glyph of Warding,damage,5d8,,acid;cold;fire;lightning;thunder,,"20-foot-radius Sphere centered on the glyph. Each creature in the area makes a Dexterity saving throw. A creature takes 5d8 Acid, Cold, Fire, Lightning, or Thunder damage (your choice when you create the glyph) on a failed save or half as much damage on a successful one. Spell Glyph",Spell Descriptions: Glyph of Warding
glyph-of-warding-damage-2,glyph-of-warding,Glyph of Warding,damage,1d8,,,,"lasts until the end of its full duration. Using a Higher-Level Spell Slot. The damage of an explosive rune increases by 1d8 for each spell slot level above 3. If you create a spell glyph, you can store any spell of up to the same level as the spell slot you use for the Glyph of Ward",Spell Descriptions: Glyph of Warding
guiding-bolt-damage-1,guiding-bolt,Guiding Bolt,damage,4d6,,radiant,,"hurl a bolt of light toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 4d6 Radiant damage, and the next attack roll made against it before the end of your next turn has Advantage. Using a Higher-Level Spell Slot. The damage increases",Spell Descriptions: Guiding Bolt
guiding-bolt-damage-2,guiding-bolt,Guiding Bolt,damage,1d6,,,,ade against it before the end of your next turn has Advantage. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Guiding Bolt
harm-damage-1,harm,Harm,damage,14d6,,necrotic,,"magic on a creature you can see within range. The target makes a Constitution saving throw. On a failed save, it takes 14d6 Necrotic damage, and its Hit Point maximum is reduced by an amount equal to the Necrotic damage it took. On a successful save, it takes half as much damage onl",Spell Descriptions: Harm
healing-word-healing-1,healing-word,Healing Word,healing,2d4,,,hit-points,A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1.,Spell Descriptions: Healing Word
heat-metal-damage-1,heat-metal,Heat Metal,damage,2d8,,fire,,"you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 Fire damage when you cast the spell. Until the spell ends, you can take a Bonus Action on each of your later turns to deal this damage again if the object is w",Spell Descriptions: Heat Metal
heat-metal-damage-2,heat-metal,Heat Metal,damage,1d8,,,,ck rolls and ability checks until the start of your next turn. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.,Spell Descriptions: Heat Metal
hellish-rebuke-damage-1,hellish-rebuke,Hellish Rebuke,damage,2d10,,fire,,"The creature that damaged you is momentarily surrounded by green flames. It makes a Dexterity saving throw, taking 2d10 Fire damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot leve",Spell Descriptions: Hellish Rebuke
hellish-rebuke-damage-2,hellish-rebuke,Hellish Rebuke,damage,1d10,,,,e on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.,Spell Descriptions: Hellish Rebuke
heroes-feast-damage-1,heroes-feast,Heroes' Feast,damage,2d10,,poison,,"o Poison damage, and it has Immunity to the Frightened and Poisoned conditions. Its Hit Point maximum also increases by 2d10, and it gains the same number of Hit Points.",Spell Descriptions: Heroes' Feast
hex-damage-1,hex,Hex,damage,1d6,,necrotic,,"You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 Necrotic damage to the target whenever you hit it with an attack roll. Also, choose one ability when you cast the spell. The target has Disadvantage on ability",Spell Descriptions: Hex
hunters-mark-damage-1,hunters-mark,Hunter's Mark,damage,1d6,,force,,"You magically mark one creature you can see within range as your quarry. Until the spell ends, you deal an extra 1d6 Force damage to the target whenever you hit it with an attack roll. You also have Advantage on any Wisdom (Perception or Survival) check you make to find it. I",Spell Descriptions: Hunter's Mark
ice-knife-damage-1,ice-knife,Ice Knife,damage,1d10,,piercing,,"ce and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 2d6 Co",Spell Descriptions: Ice Knife
ice-knife-damage-2,ice-knife,Ice Knife,damage,2d6,,cold,,shard then explodes. The target and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 2d6 Cold damage. Using a Higher-Level Spell Slot. The Cold damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Ice Knife
ice-knife-damage-3,ice-knife,Ice Knife,damage,1d6,,cold,,ceed on a Dexterity saving throw or take 2d6 Cold damage. Using a Higher-Level Spell Slot. The Cold damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Ice Knife
ice-storm-damage-1,ice-storm,Ice Storm,damage,2d10,,bludgeoning;cold,,linder centered on a point within range. Each creature in the Cylinder makes a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed save or half as much damage on a successful one. Hailstones turn ground in the Cylinder into Difficult Terra,Spell Descriptions: Ice Storm
ice-storm-damage-2,ice-storm,Ice Storm,damage,4d6,,bludgeoning;cold,,ithin range. Each creature in the Cylinder makes a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed save or half as much damage on a successful one. Hailstones turn ground in the Cylinder into Difficult Terrain until the end of your ne,Spell Descriptions: Ice Storm
ice-storm-damage-3,ice-storm,Ice Storm,damage,1d10,,bludgeoning,,Difficult Terrain until the end of your next turn. Using a Higher-Level Spell Slot. The Bludgeoning damage increases by 1d10 for each spell slot level above 4.,Spell Descriptions: Ice Storm
incendiary-cloud-damage-1,incendiary-cloud,Incendiary Cloud,damage,10d8,,fire,,"eated by Gust of Wind) disperses it. When the cloud appears, each creature in it makes a Dexterity saving throw, taking 10d8 Fire damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it e",Spell Descriptions: Incendiary Cloud
inflict-wounds-damage-1,inflict-wounds,Inflict Wounds,damage,2d10,,necrotic,,"A creature you touch makes a Constitution saving throw, taking 2d10 Necrotic damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot",Spell Descriptions: Inflict Wounds
inflict-wounds-damage-2,inflict-wounds,Inflict Wounds,damage,1d10,,,,e on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.,Spell Descriptions: Inflict Wounds
insect-plague-damage-1,insect-plague,Insect Plague,damage,4d10,,piercing,,"y Obscured and Difficult Terrain. When the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell's area for the first time",Spell Descriptions: Insect Plague
insect-plague-damage-2,insect-plague,Insect Plague,damage,1d10,,,,its turn there. A creature makes this save only once per turn. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 5.,Spell Descriptions: Insect Plague
lightning-bolt-damage-1,lightning-bolt,Lightning Bolt,damage,8d6,,lightning,,"de Line blasts out from you in a direction you choose. Each creature in the Line makes a Dexterity saving throw, taking 8d6 Lightning damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot",Spell Descriptions: Lightning Bolt
lightning-bolt-damage-2,lightning-bolt,Lightning Bolt,damage,1d6,,,,e on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.,Spell Descriptions: Lightning Bolt
magic-missile-damage-1,magic-missile,Magic Missile,damage,1d4+1,,force,,"glowing darts of magical force. Each dart strikes a creature of your choice that you can see within range. A dart deals 1d4 + 1 Force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several. Using a Higher-Level Spell Slot. The s",Spell Descriptions: Magic Missile
mass-cure-wounds-healing-1,mass-cure-wounds,Mass Cure Wounds,healing,5d8,,,hit-points,. Choose up to six creatures in a 30-foot-radius Sphere centered on that point. Each target regains Hit Points equal to 5d8 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 5.,Spell Descriptions: Mass Cure Wounds
mass-healing-word-healing-1,mass-healing-word,Mass Healing Word,healing,2d4,,,hit-points,Up to six creatures of your choice that you can see within range regain Hit Points equal to 2d4 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 1d4 for each spell slot level above 3.,Spell Descriptions: Mass Healing Word
meld-into-stone-damage-1,meld-into-stone,Meld into Stone,damage,6d6,,force,,"its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 Force damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 Force damage to you. If expelled, y",Spell Descriptions: Meld into Stone
meteor-swarm-damage-1,meteor-swarm,Meteor Swarm,damage,20d6,,bludgeoning;fire,,h creature in a 40-foot-radius Sphere centered on each of those points makes a Dexterity saving throw. A creature takes 20d6 Fire damage and 20d6 Bludgeoning damage on a failed save or half as much damage on a successful one. A creature in the area of more than one fiery Sphere is af,Spell Descriptions: Meteor Swarm
meteor-swarm-damage-2,meteor-swarm,Meteor Swarm,damage,20d6,,bludgeoning;fire,,ot-radius Sphere centered on each of those points makes a Dexterity saving throw. A creature takes 20d6 Fire damage and 20d6 Bludgeoning damage on a failed save or half as much damage on a successful one. A creature in the area of more than one fiery Sphere is affected only once. A n,Spell Descriptions: Meteor Swarm
mind-spike-damage-1,mind-spike,Mind Spike,damage,3d8,,psychic,,"f psionic energy into the mind of one creature you can see within range. The target makes a Wisdom saving throw, taking 3d8 Psychic damage on a failed save or half as much damage on a successful one. On a failed save, you also always know the target's location until the spell ends,",Spell Descriptions: Mind Spike
mind-spike-damage-2,mind-spike,Mind Spike,damage,1d8,,,,"ondition, it gains no benefit from that condition against you. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.",Spell Descriptions: Mind Spike
moonbeam-damage-1,moonbeam,Moonbeam,damage,2d10,,radiant,,"t. When the Cylinder appears, each creature in it makes a Constitution saving throw. On a failed save, a creature takes 2d10 Radiant damage, and if the creature is shape-shifted (as a result of the Polymorph spell, for example), it reverts to its true form and can't shape-shift until",Spell Descriptions: Moonbeam
moonbeam-damage-2,moonbeam,Moonbeam,damage,1d10,,,,its turn there. A creature makes this save only once per turn. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 2.,Spell Descriptions: Moonbeam
phantasmal-force-damage-1,phantasmal-force,Phantasmal Force,damage,2d8,,psychic,,"the illusion if the phantasm represents a dangerous creature or hazard. On each of your turns, such a phantasm can deal 2d8 Psychic damage to the target if it is in the phantasm's area or within 5 feet of the phantasm. The target perceives the damage as a type appropriate to the ill",Spell Descriptions: Phantasmal Force
phantasmal-killer-damage-1,phantasmal-killer,Phantasmal Killer,damage,4d10,,psychic,,"eepest fears, visible only to that creature. The target makes a Wisdom saving throw. On a failed save, the target takes 4d10 Psychic damage and has Disadvantage on ability checks and attack rolls for the duration. On a successful save, the target takes half as much damage, and the sp",Spell Descriptions: Phantasmal Killer
phantasmal-killer-damage-2,phantasmal-killer,Phantasmal Killer,damage,1d10,,psychic,,"he Psychic damage again. On a successful save, the spell ends. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 4.",Spell Descriptions: Phantasmal Killer
poison-spray-damage-1,poison-spray,Poison Spray,damage,1d12,,poison,,"spray toxic mist at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d12 Poison damage. Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12).",Spell Descriptions: Poison Spray
poison-spray-damage-2,poison-spray,Poison Spray,damage,1d12,,poison,,"pell attack against the target. On a hit, the target takes 1d12 Poison damage. Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12).",Spell Descriptions: Poison Spray
poison-spray-damage-3,poison-spray,Poison Spray,damage,2d12,,poison,,". On a hit, the target takes 1d12 Poison damage. Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12).",Spell Descriptions: Poison Spray
poison-spray-damage-4,poison-spray,Poison Spray,damage,3d12,,poison,,"the target takes 1d12 Poison damage. Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12).",Spell Descriptions: Poison Spray
poison-spray-damage-5,poison-spray,Poison Spray,damage,4d12,,poison,,"es 1d12 Poison damage. Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12).",Spell Descriptions: Poison Spray
power-word-kill-damage-1,power-word-kill,Power Word Kill,damage,12d12,,psychic,,"l one creature you can see within range to die. If the target has 100 Hit Points or fewer, it dies. Otherwise, it takes 12d12 Psychic damage.",Spell Descriptions: Power Word Kill
prayer-of-healing-healing-1,prayer-of-healing,Prayer of Healing,healing,2d8,,,hit-points,of your choice who remain within range for the spell's entire casting gain the benefits of a Short Rest and also regain 2d8 Hit Points. A creature can't be affected by this spell again until that creature finishes a Long Rest. Using a Higher-Level Spell Slot. The healing increases b,Spell Descriptions: Prayer of Healing
prismatic-spray-damage-1,prismatic-spray,Prismatic Spray,damage,1d8,,fire,,"light flash from you in a 60-foot Cone. Each creature in the Cone makes a Dexterity saving throw. For each target, roll 1d8 to determine which color ray affects it, consulting the Prismatic Rays table. Prismatic Rays 1d8 Ray 1 Red. Failed Save: 12d6 Fire damage. Successful Save: Hal",Spell Descriptions: Prismatic Spray
prismatic-spray-damage-2,prismatic-spray,Prismatic Spray,damage,1d8,,acid;fire,,"For each target, roll 1d8 to determine which color ray affects it, consulting the Prismatic Rays table. Prismatic Rays 1d8 Ray 1 Red. Failed Save: 12d6 Fire damage. Successful Save: Half as much damage. 2 Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage.",Spell Descriptions: Prismatic Spray
prismatic-spray-damage-3,prismatic-spray,Prismatic Spray,damage,12d6,,acid;fire,,"o determine which color ray affects it, consulting the Prismatic Rays table. Prismatic Rays 1d8 Ray 1 Red. Failed Save: 12d6 Fire damage. Successful Save: Half as much damage. 2 Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage. 3 Yellow. Failed Save: 12d6 L",Spell Descriptions: Prismatic Spray
prismatic-spray-damage-4,prismatic-spray,Prismatic Spray,damage,12d6,,acid;fire;lightning,,ismatic Rays 1d8 Ray 1 Red. Failed Save: 12d6 Fire damage. Successful Save: Half as much damage. 2 Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage. 3 Yellow. Failed Save: 12d6 Lightning damage. Successful Save: Half as much damage. 4 Green. Failed Save: 12,Spell Descriptions: Prismatic Spray
prismatic-spray-damage-5,prismatic-spray,Prismatic Spray,damage,12d6,,acid;lightning;poison,,f as much damage. 2 Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage. 3 Yellow. Failed Save: 12d6 Lightning damage. Successful Save: Half as much damage. 4 Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. 1d8 Ray 5 Blue. Failed,Spell Descriptions: Prismatic Spray
prismatic-spray-damage-6,prismatic-spray,Prismatic Spray,damage,12d6,,cold;lightning;poison,,much damage. 3 Yellow. Failed Save: 12d6 Lightning damage. Successful Save: Half as much damage. 4 Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. 1d8 Ray 5 Blue. Failed Save: 12d6 Cold damage. Successful Save: Half as much damage. 6 Indigo. Failed Save,Spell Descriptions: Prismatic Spray
prismatic-spray-damage-7,prismatic-spray,Prismatic Spray,damage,1d8,,cold;poison,,. Successful Save: Half as much damage. 4 Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. 1d8 Ray 5 Blue. Failed Save: 12d6 Cold damage. Successful Save: Half as much damage. 6 Indigo. Failed Save: The target has the Restrained condition and makes a Con,Spell Descriptions: Prismatic Spray
prismatic-spray-damage-8,prismatic-spray,Prismatic Spray,damage,12d6,,cold;poison,,ch damage. 4 Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. 1d8 Ray 5 Blue. Failed Save: 12d6 Cold damage. Successful Save: Half as much damage. 6 Indigo. Failed Save: The target has the Restrained condition and makes a Constitution saving throw at the,Spell Descriptions: Prismatic Spray
prismatic-wall-damage-1,prismatic-wall,Prismatic Wall,damage,12d6,,fire,,"fect on the wall, and Dispel Magic can affect only the violet layer. Prismatic Layers Order Effects 1 Red. Failed Save: 12d6 Fire damage. Successful Save: Half as much damage. Additional Effects: Nonmagical ranged attacks can't pass through this layer, which is destroyed if it takes",Spell Descriptions: Prismatic Wall
prismatic-wall-damage-2,prismatic-wall,Prismatic Wall,damage,12d6,,acid;cold,,"d attacks can't pass through this layer, which is destroyed if it takes at least 25 Cold damage. 2 Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage. Additional Effects: Magical ranged attacks can't pass through this layer, which is destroyed by a strong win",Spell Descriptions: Prismatic Wall
prismatic-wall-damage-3,prismatic-wall,Prismatic Wall,damage,12d6,,force;lightning,,"rough this layer, which is destroyed by a strong wind (such as the one created by Gust of Wind). 3 Yellow. Failed Save: 12d6 Lightning damage. Successful Save: Half as much damage. Additional Effects: The layer is destroyed if it takes at least 60 Force damage. 4 Green. Failed Save:",Spell Descriptions: Prismatic Wall
prismatic-wall-damage-4,prismatic-wall,Prismatic Wall,damage,12d6,,force;poison,,"as much damage. Additional Effects: The layer is destroyed if it takes at least 60 Force damage. 4 Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. Additional Effects: A Passwall spell, or another spell of equal or greater level that can open a portal on",Spell Descriptions: Prismatic Wall
prismatic-wall-damage-5,prismatic-wall,Prismatic Wall,damage,12d6,,cold;fire,,"er spell of equal or greater level that can open a portal on a solid surface, destroys this layer. 5 Blue. Failed Save: 12d6 Cold damage. Successful Save: Half as much damage. Additional Effects: The layer is destroyed if it takes at least 25 Fire damage. 6 Indigo. Failed Save: The t",Spell Descriptions: Prismatic Wall
produce-flame-damage-1,produce-flame,Produce Flame,damage,1d8,,fire,,"n to hurl fire at a creature or an object within 60 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 Fire damage. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Produce Flame
produce-flame-damage-2,produce-flame,Produce Flame,damage,1d8,,fire,,"f you. Make a ranged spell attack. On a hit, the target takes 1d8 Fire damage. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Produce Flame
produce-flame-damage-3,produce-flame,Produce Flame,damage,2d8,,fire,,"tack. On a hit, the target takes 1d8 Fire damage. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Produce Flame
produce-flame-damage-4,produce-flame,Produce Flame,damage,3d8,,fire,,"hit, the target takes 1d8 Fire damage. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Produce Flame
produce-flame-damage-5,produce-flame,Produce Flame,damage,4d8,,fire,,"et takes 1d8 Fire damage. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Produce Flame
ray-of-enfeeblement-damage-1,ray-of-enfeeblement,Ray of Enfeeblement,damage,1d8,,,,"led save, the target has Disadvantage on Strength-based D20 Tests for the duration. During that time, it also subtracts 1d8 from all its damage rolls. The target repeats the save at the end of each of its turns, ending the spell on a success.",Spell Descriptions: Ray of Enfeeblement
ray-of-frost-damage-1,ray-of-frost,Ray of Frost,damage,1d8,,cold,,"e-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 Cold damage, and its Speed is reduced by 10 feet until the start of your next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8),",Spell Descriptions: Ray of Frost
ray-of-frost-damage-2,ray-of-frost,Ray of Frost,damage,1d8,,,,"damage, and its Speed is reduced by 10 feet until the start of your next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Ray of Frost
ray-of-frost-damage-3,ray-of-frost,Ray of Frost,damage,2d8,,,,"ced by 10 feet until the start of your next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Ray of Frost
ray-of-frost-damage-4,ray-of-frost,Ray of Frost,damage,3d8,,,,"feet until the start of your next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Ray of Frost
ray-of-frost-damage-5,ray-of-frost,Ray of Frost,damage,4d8,,,,"start of your next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Ray of Frost
regenerate-healing-1,regenerate,Regenerate,healing,4d8+15,,,hit-points,"A creature you touch regains 4d8 + 15 Hit Points. For the duration, the target regains 1 Hit Point at the start of each of its turns, and any severed body parts regrow after 2 minutes.",Spell Descriptions: Regenerate
ray-of-sickness-damage-1,ray-of-sickness,Ray of Sickness,damage,2d8,,poison,,"ot a greenish ray at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 Poison damage and has the Poisoned condition until the end of your next turn. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot",Spell Descriptions: Ray of Sickness
ray-of-sickness-damage-2,ray-of-sickness,Ray of Sickness,damage,1d8,,,,nd has the Poisoned condition until the end of your next turn. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.,Spell Descriptions: Ray of Sickness
resistance-damage-1,resistance,Resistance,damage,1d4,,,,"When the creature takes damage of the chosen type before the spell ends, the creature reduces the total damage taken by 1d4. A creature can benefit from this spell only once per turn.",Spell Descriptions: Resistance
sacred-flame-damage-1,sacred-flame,Sacred Flame,damage,1d8,,radiant,,iance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 Radiant damage. The target gains no benefit from Half Cover or Three-Quarters Cover for this save. Cantrip Upgrade. The damage increases by 1d8 when you reach,Spell Descriptions: Sacred Flame
sacred-flame-damage-2,sacred-flame,Sacred Flame,damage,1d8,,,,"target gains no benefit from Half Cover or Three-Quarters Cover for this save. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Sacred Flame
sacred-flame-damage-3,sacred-flame,Sacred Flame,damage,2d8,,,,"Half Cover or Three-Quarters Cover for this save. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Sacred Flame
sacred-flame-damage-4,sacred-flame,Sacred Flame,damage,3d8,,,,"or Three-Quarters Cover for this save. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Sacred Flame
sacred-flame-damage-5,sacred-flame,Sacred Flame,damage,4d8,,,,"ters Cover for this save. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",Spell Descriptions: Sacred Flame
scorching-ray-damage-1,scorching-ray,Scorching Ray,damage,2d6,,fire,,"hurl them at one target within range or at several. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 Fire damage. Using a Higher-Level Spell Slot. You create one additional ray for each spell slot level above 2.",Spell Descriptions: Scorching Ray
searing-smite-damage-1,searing-smite,Searing Smite,damage,1d6,,fire,,"As you hit the target, it takes an extra 1d6 Fire damage from the attack. At the start of each of its turns until the spell ends, the target takes 1d6 Fire damage and then makes a Constitution saving thro",Spell Descriptions: Searing Smite
searing-smite-damage-2,searing-smite,Searing Smite,damage,1d6,,fire,,"akes an extra 1d6 Fire damage from the attack. At the start of each of its turns until the spell ends, the target takes 1d6 Fire damage and then makes a Constitution saving throw. On a failed save, the spell continues. On a successful save, the spell ends. Using a Higher-Level Spell",Spell Descriptions: Searing Smite
searing-smite-damage-3,searing-smite,Searing Smite,damage,1d6,,,,"the spell continues. On a successful save, the spell ends. Using a Higher-Level Spell Slot. All the damage increases by 1d6 for each spell slot level above 1.",Spell Descriptions: Searing Smite
shatter-damage-1,shatter,Shatter,damage,3d8,,thunder,,"choice within range. Each creature in a 10-foot-radius Sphere centered there makes a Constitution saving throw, taking 3d8 Thunder damage on a failed save or half as much damage on a successful one. A Construct has Disadvantage on the save. A nonmagical object that isn't being worn",Spell Descriptions: Shatter
shatter-damage-2,shatter,Shatter,damage,1d8,,,,or carried also takes the damage if it's in the spell's area. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.,Spell Descriptions: Shatter
shillelagh-damage-1,shillelagh,Shillelagh,damage,2d6,,,,"r if you let go of the weapon. Cantrip Upgrade. The damage die changes when you reach levels 5 (d10), 11 (d12), and 17 (2d6).",Spell Descriptions: Shillelagh
shining-smite-damage-1,shining-smite,Shining Smite,damage,2d6,,radiant,,"The target hit by the strike takes an extra 2d6 Radiant damage from the attack. Until the spell ends, the target sheds Bright Light in a 5-foot radius, attack rolls against it have Advantage, and it can't be",Spell Descriptions: Shining Smite
shining-smite-damage-2,shining-smite,Shining Smite,damage,1d6,,,,"Advantage, and it can't benefit from the Invisible condition. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.",Spell Descriptions: Shining Smite
shocking-grasp-damage-1,shocking-grasp,Shocking Grasp,damage,1d8,,lightning,,"from you to a creature that you try to touch. Make a melee spell attack against the target. On a hit, the target takes 1d8 Lightning damage, and it can't make Opportunity Attacks until the start of its next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5",Spell Descriptions: Shocking Grasp
